Id,Name
ALB,Albania
AND,Andorra
ARM,Armenia
AUT,Austria
AZE,Azerbaijan
BLR,Belarus
BEL,Belgium
BLZ,Belize
BIH,Bosnia and Herzegovina
BGR,Bulgaria
HRV,Croatia
CYP,Cyprus
CZE,Czechia
DNK,Denmark
EST,Estonia
FIN,Finland
FRA,France
GEO,Georgia
DEU,Germany
GRC,Greece
VAT,Holy See
ISL,Iceland
IRL,Ireland
ITA,Italy
KAZ,Kazakhstan
KGZ,Kyrgyzstan
XKX,Republic of Kosovo
MKD,North Macedonia
NOR,Norway
LVA,Latvia
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
MLT,Malta
MCO,Monaco
MNE,Montenegro
NLD,Netherlands
POL,Poland
PRT,Portugal
MDA,Republic of Moldova
ROU,Romania
RUS,Russian Federation
SMR,San Marino
SRB,Serbia
SVK,Slovakia
SVN,Slovenia
ESP,Spain
SWE,Sweden
CHE,Switzerland
TJK,Tajikistan
TUR,Turkey
TKM,Turkmenistan
UKR,Ukraine
GBR,United Kingdom
UZB,Uzbekistan
